key,title,year,month,day,journal,issn,volume,issue,pages,authors,url,language,publisher,location,abstract,notes,doi,keywords,pubmed_id,pmc_id
rayyan-601300447,A Machine Learning Approach to Support Urgent Stroke Triage Using Administrative Data and Social Determinants of Health at Hospital Presentation: Retrospective Study.,2023,1,30,Journal of medical Internet research,1438-8871 (Electronic),25,,e36477,Chen M and Tan X and Padman R,https://pubmed.ncbi.nlm.nih.gov/36716097/,eng,,Canada,"BACKGROUND: The key to effective stroke management is timely diagnosis and triage. Machine learning (ML) methods developed to assist in detecting stroke have focused on interpreting detailed clinical data such as clinical notes and diagnostic imaging results. However, such information may not be readily available when patients are initially triaged, particularly in rural and underserved communities. OBJECTIVE: This study aimed to develop an ML stroke prediction algorithm based on data widely available at the time of patients' hospital presentations and assess the added value of social determinants of health (SDoH) in stroke prediction. METHODS: We conducted a retrospective study of the emergency department and hospitalization records from 2012 to 2014 from all the acute care hospitals in the state of Florida, merged with the SDoH data from the American Community Survey. A case-control design was adopted to construct stroke and stroke mimic cohorts. We compared the algorithm performance and feature importance measures of the ML models (ie, gradient boosting machine and random forest) with those of the logistic regression model based on 3 sets of predictors. To provide insights into the prediction and ultimately assist care providers in decision-making, we used TreeSHAP for tree-based ML models to explain the stroke prediction. RESULTS: Our analysis included 143,203 hospital visits of unique patients, and it was confirmed based on the principal diagnosis at discharge that 73% (n=104,662) of these patients had a stroke. The approach proposed in this study has high sensitivity and is particularly effective at reducing the misdiagnosis of dangerous stroke chameleons (false-negative rate <4%). ML classifiers consistently outperformed the benchmark logistic regression in all 3 input combinations. We found significant consistency across the models in the features that explain their performance. The most important features are age, the number of chronic conditions on admission, and primary payer (eg, Medicare or private insurance). Although both the individual- and community-level SDoH features helped improve the predictive performance of the models, the inclusion of the individual-level SDoH features led to a much larger improvement (area under the receiver operating characteristic curve increased from 0.694 to 0.823) than the inclusion of the community-level SDoH features (area under the receiver operating characteristic curve increased from 0.823 to 0.829). CONCLUSIONS: Using data widely available at the time of patients' hospital presentations, we developed a stroke prediction model with high sensitivity and reasonable specificity. The prediction algorithm uses variables that are routinely collected by providers and payers and might be useful in underresourced hospitals with limited availability of sensitive diagnostic tools or incomplete data-gathering capabilities.","RAYYAN-INCLUSION: {""ANIRBAN""=>""Excluded""}",10.2196/36477,Aged;Humans;United States;Retrospective Studies;*Triage/methods;Social Determinants of Health;Medicare;Machine Learning;*Stroke/diagnosis/therapy;Hospitals,36716097,PMC9926350
rayyan-601300448,Machine learning models predict coagulopathy in traumatic brain injury patients in ER.,2025,,,Frontiers in neurology,1664-2295 (Print),16,,1649869,Wang H and Cao W and Huang J and Feng Y and Li C,https://pubmed.ncbi.nlm.nih.gov/41050269/,eng,,Switzerland,"Traumatic brain injury (TBI) is a critical emergency condition, with 15-35% of patients developing coagulopathy, increasing risks of secondary brain injury and mortality. We developed a machine learning model to predict coagulopathy in TBI patients in the emergency room. Using data from 322 TBI patients (mean age 55.7 ± 21.1 years, coagulopathy incidence 15.8%) at Chongqing Ninth People's Hospital (2018-2024), we collected clinical and laboratory data (GCS scores, blood counts, liver function). Data were preprocessed in R, using SMOTE for class imbalance and selecting top 70% features by information gain. Among 11 algorithms, Random Forest (RF) achieved the best performance (AUC = 0.92, recall = 0.94, false negative rate = 6%), outperforming coagulation tests. Neutrophil percentage, A/G ratio, and ALT were key predictors, reflecting inflammation and liver dysfunction. SHAP analysis enhanced model interpretability. This model supports rapid risk stratification for early intervention, though multi-center validation is needed.","RAYYAN-INCLUSION: {""ANIRBAN""=>""Excluded""}",10.3389/fneur.2025.1649869,"",41050269,PMC12488443
rayyan-601300449,"Overtriage, Undertriage, and Value of Care after Major Surgery: An Automated, Explainable Deep Learning-Enabled Classification System.",2023,2,1,Journal of the American College of Surgeons,1879-1190 (Electronic),236,2,279-291,Loftus TJ and Ruppert MM and Shickel B and Ozrazgat-Baslanti T and Balch JA and Hu D and Javed A and Madbak F and Skarupa DJ and Guirgis F and Efron PA and Tighe PJ and Hogan WR and Rashidi P and Upchurch GR Jr and Bihorac A,https://pubmed.ncbi.nlm.nih.gov/36648256/,eng,,United States,"BACKGROUND: In single-institution studies, overtriaging low-risk postoperative patients to ICUs has been associated with a low value of care; undertriaging high-risk postoperative patients to general wards has been associated with increased mortality and morbidity. This study tested the reproducibility of an automated postoperative triage classification system to generating an actionable, explainable decision support system. STUDY DESIGN: This longitudinal cohort study included adults undergoing inpatient surgery at two university hospitals. Triage classifications were generated by an explainable deep learning model using preoperative and intraoperative electronic health record features. Nearest neighbor algorithms identified risk-matched controls. Primary outcomes were mortality, morbidity, and value of care (inverted risk-adjusted mortality/total direct costs). RESULTS: Among 4,669 ICU admissions, 237 (5.1%) were overtriaged. Compared with 1,021 control ward admissions, overtriaged admissions had similar outcomes but higher costs ($15.9K [interquartile range $9.8K to $22.3K] vs $10.7K [$7.0K to $17.6K], p < 0.001) and lower value of care (0.2 [0.1 to 0.3] vs 1.5 [0.9 to 2.2], p < 0.001). Among 8,594 ward admissions, 1,029 (12.0%) were undertriaged. Compared with 2,498 control ICU admissions, undertriaged admissions had longer hospital length-of-stays (6.4 [3.4 to 12.4] vs 5.4 [2.6 to 10.4] days, p < 0.001); greater incidence of hospital mortality (1.7% vs 0.7%, p = 0.03), cardiac arrest (1.4% vs 0.5%, p = 0.04), and persistent acute kidney injury without renal recovery (5.2% vs 2.8%, p = 0.002); similar costs ($21.8K [$13.3K to $34.9K] vs $21.9K [$13.1K to $36.3K]); and lower value of care (0.8 [0.5 to 1.3] vs 1.2 [0.7 to 2.0], p < 0.001). CONCLUSIONS: Overtriage was associated with low value of care; undertriage was associated with both low value of care and increased mortality and morbidity. The proposed framework for generating automated postoperative triage classifications is reproducible.","RAYYAN-INCLUSION: {""ANIRBAN""=>""Excluded""}",10.1097/XCS.0000000000000471,Adult;Humans;Longitudinal Studies;Reproducibility of Results;*Deep Learning;Triage;Cohort Studies;Retrospective Studies,36648256,PMC9993068
rayyan-601300450,Predicting 30-Day All-Cause Hospital Readmission Using Multimodal Spatiotemporal Graph Neural Networks.,2023,4,,IEEE journal of biomedical and health informatics,2168-2208 (Electronic),27,4,2071-2082,Tang S and Tariq A and Dunnmon JA and Sharma U and Elugunti P and Rubin DL and Patel BN and Banerjee I,https://pubmed.ncbi.nlm.nih.gov/37018684/,eng,,United States,"Reduction in 30-day readmission rate is an important quality factor for hospitals as it can reduce the overall cost of care and improve patient post-discharge outcomes. While deep-learning-based studies have shown promising empirical results, several limitations exist in prior models for hospital readmission prediction, such as: (a) only patients with certain conditions are considered, (b) do not leverage data temporality, (c) individual admissions are assumed independent of each other, which ignores patient similarity, (d) limited to single modality or single center data. In this study, we propose a multimodal, spatiotemporal graph neural network (MM-STGNN) for prediction of 30-day all-cause hospital readmission, which fuses in-patient multimodal, longitudinal data and models patient similarity using a graph. Using longitudinal chest radiographs and electronic health records from two independent centers, we show that MM-STGNN achieved an area under the receiver operating characteristic curve (AUROC) of 0.79 on both datasets. Furthermore, MM-STGNN significantly outperformed the current clinical reference standard, LACE+ (AUROC = 0.61), on the internal dataset. For subset populations of patients with heart disease, our model significantly outperformed baselines, such as gradient-boosting and Long Short-Term Memory models (e.g., AUROC improved by 3.7 points in patients with heart disease). Qualitative interpretability analysis indicated that while patients' primary diagnoses were not explicitly used to train the model, features crucial for model prediction may reflect patients' diagnoses. Our model could be utilized as an additional clinical decision aid during discharge disposition and triaging high-risk patients for closer post-discharge follow-up for potential preventive measures.","RAYYAN-INCLUSION: {""ANIRBAN""=>""Excluded""}",10.1109/JBHI.2023.3236888,"",37018684,PMC11073780
rayyan-601300451,Point-of-care ultrasound assessment of the abdominal aorta by physician assistant students: a pilot study.,2021,4,,Emergency radiology,1438-1435 (Electronic),28,2,245-250,Jaynstein D and Baeten R and Bafuma P and Krakov R and Biggs D and She T and Yuzuk N,https://pubmed.ncbi.nlm.nih.gov/32839890/,eng,,United States,"OBJECTIVE: Point-of-care ultrasound (POCUS) decreases time to diagnosis and improves mortality of those diagnosed with abdominal aortic aneurysms and dissections. While medical students have demonstrated an ability to obtain adequate POCUS images of the abdominal aorta (AA), physician assistant (PA) student studies are lacking. This pilot study aims to evaluate the ability of PA students to acquire AA POCUS images. METHODS: PA students, instructors, and models voluntarily participated. Student participants received online material to review several weeks before the study. During the study, students performed 4 precepted practice scans of the AA, and their fifth scan was recorded for review by three ultrasound fellowship trained Emergency Medicine physicians. Images were graded on proper identification and measurement of the AA, as well as interpretability of images. RESULTS: A total of 20 PA students participated. Ninety-five percent were able to obtain interpretable transverse images of the distal aorta and longitudinal views of the aorta, and 65% were able to obtain interpretable transverse images of the proximal and mid aorta. CONCLUSIONS: In the most rigorous evaluation of student-obtained AA POCUS images to date, we found that PA students were able to obtain adequate AA images. PA students were able to image the distal and longitudinal aorta in the transverse plane where the majority of AAAs are found to a very high degree. Results demonstrate PA students' ability to learn POCUS and encourage PA education to take steps to incorporate POCUS education and development of competency standards for PA graduates.","RAYYAN-INCLUSION: {""ANIRBAN""=>""Excluded""}",10.1007/s10140-020-01844-8,"Adult;Aortic Dissection/*diagnostic imaging;Aortic Aneurysm, Abdominal/*diagnostic imaging;Clinical Competence;Emergency Medicine/*education;Female;Humans;Male;Physician Assistants/*education;Pilot Projects;*Point-of-Care Testing;Prospective Studies;Ultrasonography/*methods",32839890,
rayyan-601300452,Multimodal AI for early prediction of adverse clinical outcomes in acute pancreatitis.,2026,6,2,Abdominal radiology (New York),2366-0058 (Electronic),,,,Karkas AY and Taktak YB and Gultekin B and Hong Z and Aktas HE and Seyithanoglu D and Cebeci T and Akin A and Elustu E and Arisin K and Canturk A and Ilhan M and Senkal N and Wallace MB and Bezuidenhout AF and Miller FH and Medetalibeyoglu A and Cakir MS and Durak G and Bagci U and Erturk SM,https://pubmed.ncbi.nlm.nih.gov/42228172/,eng,,United States,"BACKGROUND: Conventional clinical scoring systems and contrast-enhanced computed tomography (CECT) interpretation provide limited accuracy in predicting adverse outcomes in early acute pancreatitis (AP). This leads to suboptimal patient management and underscores the need for improved triage methods. To address this, we developed a multimodal artificial intelligence (AI) framework that integrates clinical parameters, radiomics, and deep learning (DL) models to predict adverse clinical outcomes in early AP. METHODS: In this retrospective tertiary-care, imaging-enriched cohort study, patients with AP who underwent CECT within 72 h of hospital admission were included. Adverse clinical outcomes were defined as mortality, intensive care unit (ICU) admission, or the need for invasive intervention within 30 days. Radiomics (using both pancreatic and peripancreatic features) and DL models were developed using CECT images to predict adverse outcomes. Multimodal models were constructed by integrating imaging and laboratory variables. Model performance was compared with three independent radiologists' prognostic imaging assessments and with established clinical scoring systems (Ranson and Glasgow-Imrie). RESULTS: A total of 284 patients with AP were included, of whom 140 (49.3%) experienced adverse clinical outcomes. Conventional clinical scores showed limited discrimination, with AUCs of 0.61 for Ranson and 0.67 for Glasgow-Imrie. Imaging-only assessment by three expert radiologists yielded modest predictive performance (average AUC = 0.629; sensitivity = 42.5%, specificity = 83.2%) and moderate interobserver agreement (Fleiss κ = 0.650; ICC = 0.653). Imaging-only radiomics and DL models achieved higher discrimination (AUC 0.77 and 0.76, respectively). Integration of laboratory parameters into the radiomics model further improved predictive performance (AUC of 0.77 to 0.80), whereas the DL and fusion models showed no substantial improvement. CONCLUSION: Our multimodal AI framework, which combines quantitative CECT features with clinical data, enhances the ability to predict adverse outcomes in early AP compared to traditional clinical and imaging severity scoring systems. These findings should be interpreted as preliminary, and prospective multicenter validation is required before considering clinical implementation.","RAYYAN-INCLUSION: {""ANIRBAN""=>""Excluded""}",10.1007/s00261-026-05588-w,"",42228172,
rayyan-601300453,Development and Validation of a Machine Learning Algorithm Predicting Emergency Department Use and Unplanned Hospitalization in Patients With Head and Neck Cancer.,2022,8,1,JAMA otolaryngology-- head & neck surgery,2168-619X (Electronic),148,8,764-772,Noel CW and Sutradhar R and Gotlib Conn L and Forner D and Chan WC and Fu R and Hallet J and Coburn NG and Eskander A,https://pubmed.ncbi.nlm.nih.gov/35771564/,eng,,United States,"IMPORTANCE: Patient-reported symptom burden was recently found to be associated with emergency department use and unplanned hospitalization (ED/Hosp) in patients with head and neck cancer. It was hypothesized that symptom scores could be combined with administrative health data to accurately risk stratify patients. OBJECTIVE: To develop and validate a machine learning approach to predict future ED/Hosp in patients with head and neck cancer. DESIGN, SETTING, AND PARTICIPANTS: This was a population-based predictive modeling study of patients in Ontario, Canada, diagnosed with head and neck cancer from January 2007 through March 2018. All outpatient clinical encounters were identified. Edmonton Symptom Assessment System (ESAS) scores and clinical and demographic factors were abstracted. Training and test cohorts were randomly generated in a 4:1 ratio. Various machine learning algorithms were explored, including (1) logistic regression using a least absolute shrinkage and selection operator, (2) random forest, (3) gradient boosting machine, (4) k-nearest neighbors, and (5) an artificial neural network. Data analysis was performed from September 2021 to January 2022. MAIN OUTCOMES AND MEASURES: The main outcome was any 14-day ED/Hosp event following symptom assessment. The performance of each model was assessed on the test cohort using the area under the receiver operator characteristic (AUROC) curve and calibration plots. Shapley values were used to identify the variables with greatest contribution to the model. RESULTS: The training cohort consisted of 9409 patients (mean [SD] age, 63.3 [10.9] years) undergoing 59 089 symptom assessments (80%). The remaining 2352 patients (mean [SD] age, 63.3 [11] years) and 14 193 symptom assessments were set aside as the test cohort (20%). Several models had high predictive accuracy, particularly the gradient boosting machine (validation AUROC, 0.80 [95% CI, 0.78-0.81]). A Youden-based cutoff corresponded to a validation sensitivity of 0.77 and specificity of 0.66. Patient-reported symptom scores were consistently identified as being the most predictive features within models. A second model built only with symptom severity data had an AUROC of 0.72 (95% CI, 0.70-0.74). CONCLUSIONS AND RELEVANCE: In this study, machine learning approaches predicted with a high degree of accuracy ED/Hosp in patients with head and neck cancer. These tools could be used to accurately risk stratify patients and may help direct targeted intervention.","RAYYAN-INCLUSION: {""ANIRBAN""=>""Maybe""}",10.1001/jamaoto.2022.1629,"Algorithms;Emergency Service, Hospital;*Head and Neck Neoplasms/diagnosis/therapy;Hospitalization;Humans;*Machine Learning;Middle Aged;Ontario",35771564,PMC9247860
rayyan-601300454,Development of a machine-learning algorithm to predict in-hospital cardiac arrest for emergency department patients using a nationwide database.,2022,12,16,Scientific reports,2045-2322 (Electronic),12,1,21797,Kim JH and Choi A and Kim MJ and Hyun H and Kim S and Chang HJ,https://pubmed.ncbi.nlm.nih.gov/36526686/,eng,,England,"In this retrospective observational study, we aimed to develop a machine-learning model using data obtained at the prehospital stage to predict in-hospital cardiac arrest in the emergency department (ED) of patients transferred via emergency medical services. The dataset was constructed by attaching the prehospital information from the National Fire Agency and hospital factors to data from the National Emergency Department Information System. Machine-learning models were developed using patient variables, with and without hospital factors. We validated model performance and used the SHapley Additive exPlanation model interpretation. In-hospital cardiac arrest occurred in 5431 of the 1,350,693 patients (0.4%). The extreme gradient boosting model showed the best performance with area under receiver operating curve of 0.9267 when incorporating the hospital factor. Oxygen supply, age, oxygen saturation, systolic blood pressure, the number of ED beds, ED occupancy, and pulse rate were the most influential variables, in that order. ED occupancy and in-hospital cardiac arrest occurrence were positively correlated, and the impact of ED occupancy appeared greater in small hospitals. The machine-learning predictive model using the integrated information acquired in the prehospital stage effectively predicted in-hospital cardiac arrest in the ED and can contribute to the efficient operation of emergency medical systems.","RAYYAN-INCLUSION: {""ANIRBAN""=>""Included""}",10.1038/s41598-022-26167-1,"Humans;*Heart Arrest;Emergency Service, Hospital;Machine Learning;Retrospective Studies;Hospitals",36526686,PMC9758227
rayyan-601300456,Research trends and ethical perspectives on explainable artificial intelligence in emergency medicine: a bibliometric analysis.,2026,1,6,"Scandinavian journal of trauma, resuscitation and emergency medicine",1757-7241 (Electronic),34,1,26,Fındık M,https://pubmed.ncbi.nlm.nih.gov/41491985/,eng,,England,"BACKGROUND: Explainable artificial intelligence (XAI) has become increasingly relevant for ensuring transparency, interpretability, and trust in clinical decision support systems. In emergency medicine, where decision-making is time-critical and data are often incomplete, XAI provides significant opportunities while also raising ethical and methodological challenges. Despite the rapid growth of AI applications in acute care, bibliometric studies explicitly integrating explainability and ethics remain limited. METHODS: A bibliometric analysis of 433 publications on XAI in emergency medicine was conducted using the Web of Science Core Collection. The search covered 1986 through November 2025 and included peer-reviewed research articles and reviews in English related to emergency medicine, artificial intelligence, explainability, and ethics. Bibliometric indicators (publication trends, citation counts, journals, authors, and countries) were analyzed using Bibliometrix (R), while VOSviewer was used to visualize thematic clusters and keyword co-occurrence. Citations were analyzed as cumulative counts up to November 2025 and normalized to per-publication counts per year. RESULTS: Research output increased sharply after 2018, peaking in 2023 with approximately 90 publications, reflecting the growing focus on interpretability and transparency in emergency care. Cumulative citations exceeded 1,400 by 2025. The United States, the United Kingdom, and China were the most productive countries. Annals of Emergency Medicine, NPJ Digital Medicine, and BMJ Open were the most influential journals, while Ong M.E.H., Dwivedi G., Stewart J., Wang Y., and Li J. emerged as leading contributors. Thematic mapping revealed four major clusters: (1) methodological development of interpretable models, (2) clinical applications in triage, imaging, and sepsis risk prediction, (3) ethical and human-factor dimensions (bias, accountability, transparency), and (4) emerging topics such as large language models. Despite rapid progress, most studies remained retrospective and lacked standardized interpretability metrics, multicenter validation, and consistent reporting of explainability outputs. CONCLUSION: Research on XAI in emergency medicine is expanding rapidly and is increasingly shaped by a small group of influential journals and authors. However, critical gaps remain, including the limited availability of prospective studies, insufficient clinician involvement, and ethical frameworks that are not yet fully tailored to emergency settings. Addressing these gaps through multidisciplinary collaboration, standardized evaluation metrics, and stronger governance will be important to support transparency, accountability, and the safe clinical adoption of XAI in emergency medicine.","RAYYAN-INCLUSION: {""ANIRBAN""=>""Maybe""}",10.1186/s13049-025-01540-x,*Bibliometrics;*Emergency Medicine/ethics;*Artificial Intelligence/ethics;Humans;*Biomedical Research/trends,41491985,PMC12870927
rayyan-601300457,Integrating Social Determinants of Health in Machine Learning-Driven Decision Support for Diabetes Case Management: Protocol for a Sequential Mixed Methods Study.,2024,9,25,JMIR research protocols,1929-0748 (Electronic),13,,e56049,Lee SY and Hayes LW and Ozaydin B and Howard S and Garretson AM and Bradley HM and Land AM and DeLaney EW and Pritchett AO and Furr AL and Allgood A and Wyatt MC and Hall AG and Banaszak-Holl JC,https://pubmed.ncbi.nlm.nih.gov/39321449/,eng,,Canada,"BACKGROUND: The use of both clinical factors and social determinants of health (SDoH) in referral decision-making for case management may improve optimal use of resources and reduce outcome disparities among patients with diabetes. OBJECTIVE: This study proposes the development of a data-driven decision-support system incorporating interactions between clinical factors and SDoH into an algorithm for prioritizing who receives case management services. The paper presents a design for prediction validation and preimplementation assessment that uses a mixed methods approach to guide the implementation of the system. METHODS: Our study setting is a large, tertiary care academic medical center in the Deep South of the United States, where SDoH contribute to disparities in diabetes-specific hospitalizations and emergency department (ED) visits. This project will develop an interpretable artificial intelligence model for a population with diabetes using SDoH and clinical data to identify which posthospitalization cases have a higher likelihood of subsequent ED use. The electronic health record data collected for the study include demographics, SDoH, comorbidities, hospitalization-related factors, laboratory test results, and medication use to predict posthospitalization ED visits. Subsequently, a mixed methods approach will be used to validate prediction outcomes and develop an implementation strategy from insights into patient outcomes from case managers, clinicians, and quality and patient safety experts. RESULTS: As of December 2023, we had abstracted data on 174,871 inpatient encounters between January 2018 and September 2023, involving 89,355 unique inpatients meeting inclusion criteria. Both clinical and SDoH data items were included for these patient encounters. In total, 85% of the inpatient visits (N=148,640) will be used for training (learning from the data) and the remaining 26,231 inpatient visits will be used for mixed-methods validation (testing). CONCLUSIONS: By integrating a critical suite of SDoH with clinical data related to diabetes, the proposed data-driven risk stratification model can enable individualized risk estimation and inform health professionals (eg, case managers) about the risk of patients' upcoming ED use. The prediction outcome could potentially automate case management referrals, helping to better prioritize services. By taking a mixed methods approach, we aim to align the model with the hospital's specific quality and patient safety considerations for the quality of patient care and the optimization of case management resource allocation. INTERNATIONAL REGISTERED REPORT IDENTIFIER (IRRID): DERR1-10.2196/56049.","RAYYAN-INCLUSION: {""ANIRBAN""=>""Excluded""}",10.2196/56049,"Humans;*Machine Learning;*Social Determinants of Health;*Case Management;*Diabetes Mellitus/therapy/epidemiology;Male;Female;Decision Support Systems, Clinical;Middle Aged;Decision Support Techniques;United States/epidemiology",39321449,PMC11464948
rayyan-601300458,Early auxiliary diagnosis model for chest pain triad based on artificial intelligence multimodal fusion.,2025,10,,JAMIA open,2574-2531 (Electronic),8,5,ooaf114,Tang J and Chen F and Wu D,https://pubmed.ncbi.nlm.nih.gov/41041626/,eng,,United States,"OBJECTIVES: Acute chest pain is a common presentation in the emergency department, characterized by sudden onset with high morbidity and mortality. Traditional diagnostic methods, such as computed tomography (CT) and CT angiography (CTA), are often time-consuming and fail to meet the urgent need for rapid triage in emergency settings. MATERIALS AND METHODS: We developed a multimodal model that integrates Bio-ClinicalBERT and ensemble learning (AdaBoost, Gradient boosting, and XGBoost) based on 41 382 patient data from April 1, 2013 to April 1, 2025 at Chongqing Daping Hospital. By integrating clinical texts and laboratory indicators, the model aims to classify the 3 major causes of fatal chest pain (acute coronary syndrome, pulmonary embolism, and aortic dissection), as well as other causes of chest pain, aiding rapid triage. We adopt strict data preprocessing and rank importance feature selection. RESULTS: The multimodal fusion model based on Gradient boosting exhibits the best performance: accuracy of 88.40%, area under the curve of 0.951, F1-score of 74.56%, precision of 77.50%, and recall of 72.52%. SHapley Additive exPlanations (SHAP) analysis confirmed the clinical relevance of key features such as d-dimer and high-sensitivity troponin. When reducing the number of numerical features to 30 key indicators, the model enhanced robustness without compromising performance. DISCUSSION AND CONCLUSION: We developed an artificial intelligence model for chest pain classification that effectively addresses the problem of overlapping clinical symptoms through multimodal fusion, and the model has high accuracy. However, future work needs to better integrate model development with clinical workflows and practical constraints.","RAYYAN-INCLUSION: {""ANIRBAN""=>""Excluded""}",10.1093/jamiaopen/ooaf114,"",41041626,PMC12486235
rayyan-601300459,A machine learning-based triage system for systemic EBV-positive T/NK cell lymphoproliferative diseases of childhood.,2026,2,23,JCI insight,2379-3708 (Electronic),11,4,,Guan P and Chen Z and Dong H and Guo X and Huang J and Dong T and Wang M and Lu X and Huang F and Li W and Tang Y and Zhang L and Pan L and Gao J and Wang S and Liu R and Zhang W and Zhao S and Liu W,https://pubmed.ncbi.nlm.nih.gov/41729084/,eng,,United States,"Systemic Epstein-Barr virus-positive (EBV-positive) T/NK cell lymphoproliferative diseases of childhood (sEBV+T/NK-LPD) are a spectrum of rare diseases that have highly variable biological behavior, from indolent conditions to highly aggressive malignancies. Clinicians currently face substantial challenges in promptly assessing disease severity and predicting patient outcomes, leading to limitations in treatment planning. To address this challenge, we constructed a comprehensive triage system to aid in rapid clinical interventions. The study included 156 patients with newly diagnosed sEBV+T/NK-LPD from 42 institutions. An independent prospective cohort of 35 newly enrolled patients was further included to evaluate the model's performance. An additional 45 patients from the literature and 18 patients who underwent hematopoietic stem cell transplantation were included to test the score's generalizability. An integrative machine learning strategy was applied to identify robust and optimal factors and to integrate multiple algorithms to enhance the system's performance and stability. This system, termed COLLAPSED, identifies critical factors and provides a stable, high-performing ensemble. This model was validated externally and simplified into a risk score to improve interpretability and accessibility. The COLLAPSED system substantially enhances clinicians' ability to rapidly and precisely identify high-risk patients, thus enabling timely clinical decision-making and expedited initiation of potentially lifesaving treatments.","RAYYAN-INCLUSION: {""ANIRBAN""=>""Excluded""}",10.1172/jci.insight.180837,"Humans;*Machine Learning;*Triage/methods;Child;Male;Female;*Lymphoproliferative Disorders/virology/diagnosis/therapy;*Epstein-Barr Virus Infections/complications/diagnosis/virology;Child, Preschool;Prospective Studies;Herpesvirus 4, Human/isolation & purification;Adolescent;*Killer Cells, Natural/virology/pathology;T-Lymphocytes/virology;Infant;Hematopoietic Stem Cell Transplantation",41729084,PMC12955998
rayyan-601300460,Human intention recognition for trauma resuscitation: An interpretable deep learning approach for medical process data.,2025,1,,Journal of biomedical informatics,1532-0480 (Electronic),161,,104767,Li K and Kim MS and Zhang W and Yang S and Sippel GJ and Sarcevic A and Burd RS and Marsic I,https://pubmed.ncbi.nlm.nih.gov/39746431/,eng,,United States,"OBJECTIVE: Trauma resuscitation is the initial evaluation and management of injured patients in the emergency department. This time-critical process requires the simultaneous pursuit of multiple resuscitation goals. Recognizing whether the required goal is being pursued can reduce errors in goal-related task performance and improve patient outcomes. The intention to pursue a goal can often be inferred from ongoing and completed treatment activities, but monitoring goal pursuit is cognitively demanding and prone to errors. We introduced an interpretable deep learning-based approach to aid decision making by automatically recognizing goal pursuit during trauma resuscitation. METHODS: We developed a predictive model to recognize the pursuit of two resuscitation goals: airway stabilization and circulatory support. We used event logs of 381 pediatric trauma resuscitations from August 2014 to November 2022 to train a neural network model with a dual-GRU structure that learns from both time-level and activity-type-level features. Our model makes predictions based on a sequence of activities and corresponding timestamps. To enhance the model and facilitate interpretation of predictions, we used the attention weights assigned by our model to represent the importance of features. These weights identified the critical time points and contributing activities during a goal pursuit. RESULTS: Our model achieved an average area under the receiver operating characteristic curve (AUC) score of 0.84 for recognizing airway stabilization and 0.83 for recognizing circulatory support. The most contributing activities and timestamps were aligned with domain knowledge. CONCLUSION: Our interpretable predictive model can recognize provider intention based on a limited number of treatment activities. The model outperformed existing predictive models for medical events in accuracy and in interpretability. Integrating our model into a decision-support system would automate the tracking of provider actions, optimizing workflow to ensure timely delivery of care.","RAYYAN-INCLUSION: {""ANIRBAN""=>""Excluded""}",10.1016/j.jbi.2024.104767,"Humans;*Deep Learning;*Resuscitation/methods;*Wounds and Injuries/therapy;Neural Networks, Computer;*Intention;Child;Emergency Service, Hospital",39746431,PMC12208189
rayyan-601300461,Predicting 1 year readmission for heart failure: A comparative study of machine learning and the LACE index.,2024,10,,ESC heart failure,2055-5822 (Electronic),11,5,2648-2660,Song X and Tong Y and Xian F and Luo Y and Tong R,https://pubmed.ncbi.nlm.nih.gov/38778700/,eng,,England,"AIMS: There is a lack of tools for accurately identifying the risk of readmission for heart failure in elderly patients with arrhythmia. The aim of this study was to establish and compare the performance of the LACE [length of stay ('L'), acute (emergent) admission ('A'), Charlson comorbidity index ('C') and visits to the emergency department during the previous 6 months ('E')] index and machine learning in predicting 1 year readmission for heart failure in elderly patients with arrhythmia. METHODS: Elderly patients with arrhythmia who were hospitalized at Sichuan Provincial People's Hospital between 1 June 2018 and 31 May 2020 were enrolled. The LACE index was calculated for each patient, and the area under the receiver operating characteristic curve (AUROC) was calculated. Six machine learning algorithms, combined with three variable selection methods and clinically relevant features available at the time of hospital discharge, were used to develop machine learning models. AUROC and area under the precision-recall curve (AUPRC) were used to assess discrimination. Shapley additive explanations (SHAP) analysis was used to explain the contributions of the features. RESULTS: A total of 523 patients were enrolled, and 108 patients experienced 1 year hospital readmission for heart failure. The AUROC of the LACE index was 0.5886. The complete machine learning model had the best predictive performance, with an AUROC of 0.7571 and an AUPRC of 0.4096. The most important predictors for 1 year readmission were educational level, total triiodothyronine (TT3), aspartate aminotransferase/alanine aminotransferase (AST/ALT), number of medications (NOM) and triglyceride (TG) level. CONCLUSIONS: Compared with the LACE index, the machine learning model can accurately identify the risk of 1 year readmission for heart failure in elderly patients with arrhythmia.","RAYYAN-INCLUSION: {""ANIRBAN""=>""Excluded""}",10.1002/ehf2.14855,"Humans;*Heart Failure/therapy;*Patient Readmission/trends/statistics & numerical data;*Machine Learning;Male;Female;Aged;Risk Assessment/methods;Retrospective Studies;Follow-Up Studies;Risk Factors;China/epidemiology;Time Factors;ROC Curve;Aged, 80 and over",38778700,PMC11424322
